wilayah,jenis_minuman,jumlah,volume
Kecamatan Pademangan,Ciu,19,Botol
Kecamatan Pademangan,Anggur Orang Tua,134,Botol
Kecamatan Pademangan,Guinnes,12,Botol
Kecamatan Pademangan,Anggur Merah,84,Botol
Kecamatan Pademangan,Rajawali,84,Botol
Kecamatan Pademangan,Vodka,4,Botol
Kecamatan Pademangan,Intisari,9,Botol
Kecamatan Koja,Anggur Orang Tua,13,Botol
Kecamatan Koja,Anggur Merah,2,Botol
Kecamatan Koja,Brandy,60,Botol
Kecamatan Koja,Mansion,23,Botol
Kecamatan Koja,Rajawali,55,Botol
Kecamatan Koja,Anggur Ginseng,132,Botol
Kecamatan Koja,Vodka,20,Botol
Kecamatan Cilincing,Anggur Merah,9,Botol
Kecamatan Cilincing,Brandy,181,Botol
Kecamatan Cilincing,Rajawali,26,Botol
Kecamatan Cilincing,Kolesom Kecil,9,Botol
Kecamatan Cilincing,Kolesom Besar,10,Botol
Kecamatan Cilincing,Aseng,41,Botol
KecamatanTanjung Priok,Brandy,60,Botol
KecamatanTanjung Priok,Rajawali,45,Botol
KecamatanTanjung Priok,Intisari,3,Botol
Kecamatan Kelapa Gading,Guinnes,5,Botol
Kecamatan Kelapa Gading,Bintang,42,Botol
Kecamatan Kelapa Gading,Bir,66,Botol
Kecamatan Kelapa Gading,Anggur Merah,120,Botol
Kecamatan Kelapa Gading,Brandy,60,Botol
Kecamatan Kelapa Gading,Vodka,4,Botol
Kecamatan Kelapa Gading,Bir Hitam,119,Botol
